Date,Open,Low,High,Close,Volume
"Dec 01, 2017",2645.1,2605.52,2650.62,2642.22,"2,497,629,000"
"Nov 30, 2017",2633.93,2633.93,2657.74,2647.58,"3,122,109,000"
"Nov 29, 2017",2627.82,2620.32,2634.89,2626.07,"2,671,028,000"
"Nov 28, 2017",2605.94,2605.44,2627.69,2627.04,"2,068,827,000"
"Nov 27, 2017",2602.66,2598.87,2606.41,2601.42,"1,728,810,000"
"Nov 24, 2017",2600.42,2600.42,2604.21,2602.42,"728,273,000"
"Nov 22, 2017",2600.31,2595.23,2600.94,2597.08,"1,596,057,000"
"Nov 21, 2017",2589.17,2589.17,2601.19,2599.03,"1,920,977,000"
"Nov 20, 2017",2579.49,2578.24,2584.64,2582.14,"1,786,157,000"
"Nov 17, 2017",2582.94,2577.62,2583.96,2578.85,"2,088,322,000"
"Nov 16, 2017",2572.95,2572.95,2590.09,2585.64,"2,046,697,000"
"Nov 15, 2017",2569.45,2557.45,2572.84,2564.62,"2,090,801,000"
"Nov 14, 2017",2577.75,2566.56,2579.66,2578.87,"2,207,476,000"
"Nov 13, 2017",2576.53,2574.48,2587.66,2584.84,"2,099,115,000"
"Nov 10, 2017",2580.18,2575.57,2583.81,2582.3,"2,045,162,000"
"Nov 09, 2017",2584,2566.33,2586.5,2584.62,"2,233,489,000"
"Nov 08, 2017",2588.71,2585.02,2595.47,2594.38,"2,092,333,000"
"Nov 07, 2017",2592.11,2584.35,2597.02,2590.64,"2,089,737,000"
"Nov 06, 2017",2587.47,2585.66,2593.38,2591.13,"2,116,417,000"
"Nov 03, 2017",2581.93,2576.77,2588.42,2587.84,"2,052,553,000"
"Nov 02, 2017",2579.46,2566.17,2581.11,2579.85,"2,416,738,000"
"Nov 01, 2017",2583.21,2574.92,2588.4,2579.36,"2,210,945,000"
"Oct 31, 2017",2575.99,2572.15,2578.29,2575.26,"2,301,425,000"
"Oct 30, 2017",2577.75,2568.25,2580.03,2572.83,"2,274,923,000"
"Oct 27, 2017",2570.26,2565.94,2582.98,2581.07,"2,620,459,000"
"Oct 26, 2017",2560.08,2559.8,2567.07,2560.4,"2,300,759,000"
"Oct 25, 2017",2566.52,2544,2567.4,2557.15,"2,467,912,000"
"Oct 24, 2017",2568.66,2565.58,2572.18,2569.13,"2,163,380,000"
"Oct 23, 2017",2578.08,2564.33,2578.29,2564.98,"2,043,652,000"
"Oct 20, 2017",2567.56,2567.56,2575.44,2575.21,"2,151,131,000"
"Oct 19, 2017",2553.39,2547.92,2562.36,2562.1,"1,896,003,000"
"Oct 18, 2017",2562.87,2559.67,2564.11,2561.26,"1,793,322,000"
"Oct 17, 2017",2557.17,2554.69,2559.71,2559.36,"1,783,193,000"
"Oct 16, 2017",2555.57,2552.64,2559.47,2557.64,"1,736,356,000"
"Oct 13, 2017",2555.66,2552.09,2557.65,2553.17,"1,893,931,000"
"Oct 12, 2017",2552.88,2548.31,2555.33,2550.93,"2,056,842,000"
"Oct 11, 2017",2550.62,2547.95,2555.24,2555.24,"1,817,198,000"
"Oct 10, 2017",2549.99,2544.86,2555.23,2550.64,"1,728,125,000"
"Oct 09, 2017",2551.39,2541.6,2551.82,2544.73,"1,505,566,000"
"Oct 06, 2017",2547.44,2543.79,2549.41,2549.33,"1,642,294,000"
"Oct 05, 2017",2540.86,2540.02,2552.51,2552.07,"1,729,396,000"
"Oct 04, 2017",2533.48,2531.8,2540.53,2537.74,"1,699,098,000"
"Oct 03, 2017",2530.34,2528.85,2535.13,2534.58,"1,737,511,000"
"Oct 02, 2017",2521.2,2520.4,2529.23,2529.12,"1,856,378,000"
"Sep 29, 2017",2509.96,2507.99,2519.44,2519.36,"1,809,912,000"
"Sep 28, 2017",2503.41,2502.93,2510.81,2510.06,"1,782,170,000"
"Sep 27, 2017",2503.3,2495.91,2511.75,2507.04,"2,035,326,000"
"Sep 26, 2017",2501.04,2495.12,2503.51,2496.84,"1,822,049,000"
"Sep 25, 2017",2499.39,2488.03,2502.54,2496.66,"2,033,920,000"
"Sep 22, 2017",2497.26,2496.54,2503.47,2502.22,"1,672,337,000"
"Sep 21, 2017",2507.16,2499,2507.16,2500.6,"1,811,929,000"
"Sep 20, 2017",2506.84,2496.67,2508.85,2508.24,"2,066,414,000"
"Sep 19, 2017",2506.29,2503.19,2507.84,2506.65,"1,920,071,000"
"Sep 18, 2017",2502.51,2499.92,2508.32,2503.87,"1,922,721,000"
"Sep 15, 2017",2495.67,2493.16,2500.23,2500.23,"3,038,856,000"
"Sep 14, 2017",2494.56,2491.35,2498.43,2495.62,"1,916,765,000"
"Sep 13, 2017",2493.89,2492.14,2498.37,2498.37,"1,897,323,000"
"Sep 12, 2017",2491.94,2490.37,2496.77,2496.48,"1,937,394,000"
"Sep 11, 2017",2474.52,2474.52,2488.95,2488.11,"1,933,077,000"
"Sep 08, 2017",2462.25,2459.4,2467.11,2461.43,"2,003,872,000"
"Sep 07, 2017",2468.06,2460.29,2468.62,2465.1,"2,097,114,000"
"Sep 06, 2017",2463.83,2459.2,2469.64,2465.54,"2,049,759,000"
"Sep 05, 2017",2470.35,2446.55,2471.97,2457.85,"2,114,363,000"
"Sep 01, 2017",2474.42,2473.85,2480.38,2476.55,"1,581,549,000"
"Aug 31, 2017",2462.65,2462.65,2475.01,2471.65,"2,076,949,000"
